context_score	matched_terms	Workflow	Trigger	Required input	Required updates	Exit rule
35	module consolidation; merge; refactor; facade; compatibility; leg36; reuse; duplication; module manifest; import graph; consumer	Semantic module consolidation and compatibility-preserving refactor workflow	Before new substantive Lean code after governance closure, or whenever the user asks whether semantically related modules should be merged, compacted, facaded, or kept separate.	LEG10 module manifest; LEG11 reuse ledger; LEG5 consumption map; repo_inventory/raw_export modules/import_edges/symbol references; candidate file list; direct code spot-checks; current public/API and proof-dossier records.	Update LEG36, code_audit findings, reuse_duplication_ledger, scratchpad refactor fields, proposed modules, duplicate-risk symbols, natural-layer placement, facade/compatibility plan, and regression metrics. Set downstream content phases to orange if this gate must precede them.	No Lean merge may close without old-module facade or explicit migration plan, import graph delta, declaration/consumer delta, local full-build evidence, and proof that semantic/provenance auditability is preserved or improved.
13	merge; refactor; reuse; duplication; consumer	Pre-Implementation Phase Check / semantic thought experiment	User asks to check the next semantically connected phases in advance, as a Gedankenexperiment, before implementation; also applicable before a risky multi-phase refactor or derived-only bridge sequence.	Current active cursor; phase table; scratchpad; object register and proof dossiers; module implementation manifest; reuse/duplication ledger; consumption map; static findings; last user-reported green build when available; requested semantic window or the next contiguous phase cluster inferred from dependencies.	For every inspected phase, create/update a pre-implementation check record and mark Y if the phase is implementable under current dependencies, or R if a dependency, object, proof route, module seam, source, or consumer-contract gap is missing. Add newly discovered problems to Static code findings. For every R record, generate one or more upstream addressing phases or a documented merge/backjump target before the blocked phase; do not set the blocked phase active until those addressing phases are closed.	The check closes only when every phase in the semantic window has a Y/R result, each R result has a concrete addressing phase or documented merge target, generated phases have object-link policy and scratchpad stubs, and all changed records carry the current tool version/timestamp. Lean-code data timestamp remains unchanged unless Lean files or Lean inventory are changed.
11	merge; refactor; declaration consumption	Secondary long-term code-documentation and derivation-geometry workflow	A request proposes documenting the existing codebase, analyzing the geometry of the formal derivation graph, studying bottlenecks/dominators/source-sink paths, or reflecting on open-system emergence in the formalization topology.	Stable generated repo inventory; object proof dossiers; declaration consumption classification; active not-before gates; explicit derived-only/comparison-only boundary.	Register the goal as secondary if prerequisites are not closed. If active later, update coverage/dominators/layer/path diagnostics and link them to objects/modules without changing CNNA generative inputs.	Outputs are documentation, diagnostics, or comparison reports only. They may guide audits and refactors, but cannot become mathematical or physical premises without a separate CNNA-derived proof path.
9	refactor; reuse; duplication; module manifest; consumer	Pre-start feasibility and static-finding triage	Before starting any active phase after a user-reported green build, and before changing Lean code or closing an infrastructure gate.	active phase_id; current phase dependencies; scratchpad preparation fields; Section 2 static findings with Priority/Issue status/Addressing phase; module manifest; reuse/duplication audit; object proof dossiers when relevant.	State whether the active phase is feasible as infrastructure-only, refactor, or Lean implementation. If a blocking issue is found, add or update a Static code finding row with R/Y/G priority, status, and addressing phase; set or keep the phase red/yellow accordingly and backjump to the natural source layer rather than patching a consumer.	Implementation may start only after the active phase has a positive feasibility result or a precisely localized missing bridge. New findings may not remain prose-only; they must be represented in Section 2 with a phase assignment and priority.
8	refactor; module manifest; import graph; consumer	Refactor regression and incremental migration	Any phase moves declarations, splits a module, introduces wrappers/aliases, quarantines legacy gates, or changes imports.	Module manifest; declaration list or family; current and target imports; consumer list; local build evidence plan.	Fill refactor_regression_protocol and refactor_migration_metrics. Record atomically delivered package boundary, declarations migrated count, import graph delta, consumer breakage audit, and local full-build status source.	A refactor phase closes only after the delivered package has local full-build evidence. Intermediate wrapper coexistence is allowed; deleting legacy/status material before quarantine closure is not allowed.
6	refactor; smoke	Concrete computable instance traversal	Before any operational Lean implementation starts, whenever a computable path, ExecComplex bridge, generated matrix/operator, recurrence, determinant, inverse candidate, or smoke-test route is introduced or modified.	active phase_id; target operational declarations; at least one concrete finite instance or an explicit infrastructure-only justification; expected executable witness; current mathlib imports and known computability risks.	Fill concrete_instance_traversal, computable_path_not_skeleton_status, expected_executable_witness, mathlib_complication_log, noncomputable_boundary_audit, and mathlib_mitigation_or_refactor_layer in the scratchpad. Record whether the instance reaches the intended output object or where it stops.	Implementation may start only if the phase either has a concrete instance path through the computable code or is explicitly infrastructure-only. Any mathlib noncomputable leak must be isolated in an allowed mirror/non-operational layer or backjumped to the natural source layer; it cannot silently enter the operational path.
6	refactor; consumer	General early finite computation-test matrix	Before implementing or promoting any operational computable path, arithmetic wrapper, generator extension, lattice test, or refactor that claims computation is preserved.	Canonical generator/branching API; finite instance parameters; L_max/branch-mode rows; expected executable witness; optional sentinel/comparison rows; mathlib/noncomputable risk log.	Fill O07 or a consumer of O07; update concrete_instance_traversal, expected_executable_witness, mathlib_complication_log, and no-go guardrails. Separate generic rows from sentinel rows.	The phase cannot close on hand-picked CM/Eisenstein/Gauss examples alone. At least one generic row family must traverse the actual computable path, or a documented failure/backjump is required.
5	refactor	Governance-depth retrospective after first refactor	When Phase 1.1.2 or the first real code-change/refactor package closes.	Closed refactor report; list of governance gates used; mistakes prevented; time/complexity overhead; upcoming Phase 3+ structure.	Fill governance_overhead_review. Decide whether the current depth remains necessary or whether later phases should use a flatter structure with the same global guardrails.	Do not remove global no-go rules. Only the phase granularity may be flattened, and only after a recorded retrospective.
5	merge	Phase-object-link policy workflow	Whenever a phase is added, split, merged, moved, or whenever an object Phase field changes.	Phase hierarchy; object register; direct object ownership map; child-phase scope; moved/audit/closeout status.	Update phase Object link policy, Object link explanation, Child object scope, object Phase fields, proof dossiers and phase table generator if needed.	The generated phase table may not contain an unexplained empty Linked objects cell. Direct ownership is never inferred from child scope; child-scope summaries are display-only.
5	refactor	Phase-type-specific scratchpad validation	Every phase preparation or status change.	phase_type; phase status; target code/object role; active scratchpad.	Fill phase_type and phase_type_specific_contract. For refactor phases fill migration/regression fields; for derivation phases fill proof/tactic/mathlib fields; for comparison phases fill derived-only boundary; for infrastructure phases justify absence of operational witness.	A phase cannot become active unless its phase_type-specific evidence is prepared. Not-applicable filler is acceptable only with an explicit infrastructure-only or comparison-only justification.
